REVIEW_DOC_NO,ANAL_CODE,CLASSIFY,EMPATHY,EMPATHY_SCORE
RVD-220118-0063993,ANAL-211104-0197,사용성,만족,4
RVD-220118-0063976,ANAL-211104-0191,디자인,만족,4
RVD-220118-0063965,ANAL-211104-0159,사용성,중립,3
RVD-220118-0063964,ANAL-211104-0159,디자인,설렘,4
RVD-220118-0058958,ANAL-211104-0066,사용성,만족,4
RVD-220118-0058957,ANAL-211104-0066,사용성,당황,2
RVD-220118-0058956,ANAL-211104-0066,사용성,만족,4
RVD-220118-0058955,ANAL-211104-0071,사용성,만족,4
RVD-220118-0058954,ANAL-211104-0071,사용성,만족,4
RVD-220118-0058953,ANAL-211104-0087,사용성,중립,3
RVD-220118-0058952,ANAL-211104-0087,가격,당황,2
RVD-220118-0058951,ANAL-211104-0087,사용성,만족,4
RVD-220118-0058949,ANAL-211104-0258,가격,만족,4
RVD-220118-0058948,ANAL-211104-0154,사용성,중립,3
RVD-220118-0058947,ANAL-211104-0154,사용성,중립,3
RVD-220118-0058946,ANAL-211104-0082,사용성,만족,4
RVD-220118-0058945,ANAL-211104-0127,사용성,바람,4
RVD-220118-0058944,ANAL-211104-0127,사용성,만족,4
RVD-220118-0058943,ANAL-211104-0153,디자인,중립,3
RVD-220118-0058942,ANAL-211104-0153,사용성,만족,4
RVD-220118-0058941,ANAL-211104-0153,사용성,행복,5
RVD-220118-0058940,ANAL-211104-0153,사용성,만족,4
RVD-220118-0058939,ANAL-211104-0072,사용성,기쁨,5
RVD-220118-0058938,ANAL-211104-0072,재질,슬픔,2
RVD-220118-0058937,ALL,재질,행복,5
RVD-220118-0058936,ANAL-211104-0151,사용성,만족,4
RVD-220118-0058935,ANAL-211104-0285,사용성,고마움,4
RVD-220118-0058934,ANAL-211104-0285,가격,짜증남,1
RVD-220118-0058933,ANAL-211104-0285,가격,고마움,4
RVD-220118-0058932,ANAL-211104-0285,가격,만족,4
RVD-220118-0058931,ANAL-211104-0271,사용성,중립,3
RVD-220118-0058930,ANAL-211104-0155,사용성,바람,4
RVD-220118-0058929,ANAL-211104-0155,사용성,만족,4
RVD-220118-0058928,ANAL-211104-0155,사용성,중립,3
RVD-220118-0058915,ANAL-211104-0126,사용성,중립,3
RVD-220118-0058914,ANAL-211104-0126,가격,싫음,1
RVD-220118-0058913,ANAL-211104-0126,사용성,슬픔,2
RVD-220118-0058858,ANAL-211104-0136,사용성,중립,3
RVD-220118-0058857,ANAL-211104-0129,사용성,중립,3
RVD-220118-0058856,ANAL-211104-0129,사용성,중립,3
RVD-220118-0058855,ANAL-211104-0136,사용성,만족,4
RVD-220118-0058854,ANAL-211104-0129,사용성,바람,4
RVD-220118-0058853,ANAL-211104-0136,재질,중립,3
RVD-220118-0058852,ANAL-211104-0129,사용성,바람,4
RVD-220118-0058851,ANAL-211104-0136,사용성,당황,2
RVD-220118-0058850,ANAL-211104-0136,사용성,중립,3
RVD-220118-0058849,ANAL-211104-0136,사용성,중립,3
RVD-220118-0058848,ANAL-211104-0136,사용성,만족,4
RVD-220118-0058847,ANAL-211104-0129,사용성,만족,4
RVD-220118-0058846,ANAL-211104-0129,제품상태,바람,4
RVD-220118-0058845,ANAL-211104-0129,사용성,중립,3
RVD-220118-0058844,ANAL-211104-0136,사용성,중립,3
RVD-220118-0058843,ANAL-211104-0129,사용성,바람,4
RVD-220118-0058842,ANAL-211104-0136,사용성,행복,5
RVD-220118-0058841,ANAL-211104-0129,사용성,행복,5
RVD-220118-0058839,ANAL-211104-0053,사용성,중립,3
RVD-220118-0058838,ANAL-211104-0053,디자인,만족,4
RVD-220118-0058837,ANAL-211104-0053,사용성,중립,3
RVD-220118-0058824,ANAL-211104-0152,사용성,만족,4
RVD-220118-0058823,ALL,사용성,행복,5
RVD-220118-0058822,ANAL-211104-0052,사용성,행복,5
RVD-220118-0058821,ANAL-211104-0050,사용성,만족,4
RVD-220118-0058820,ALL,사용성,만족,4
RVD-220118-0058819,ANAL-211104-0055,사용성,만족,4
RVD-220118-0058818,ANAL-211104-0050,사용성,만족,4
RVD-220118-0058817,ANAL-211104-0049,사용성,만족,4
RVD-220118-0058816,ALL,디자인,만족,4
RVD-220118-0058815,ALL,사용성,만족,4
RVD-220118-0058814,ANAL-211104-0050,사용성,만족,4
RVD-220118-0058813,ANAL-211104-0055,사용성,만족,4
RVD-220118-0058812,ANAL-211104-0049,사용성,싫음,1
RVD-220118-0058811,ANAL-211104-0055,사용성,싫음,1
RVD-220118-0058810,ANAL-211104-0056,사용성,중립,3
RVD-220118-0058809,ANAL-211104-0052,사용성,만족,4
RVD-220118-0058808,ANAL-211104-0050,사용성,중립,3
RVD-220118-0058807,ANAL-211104-0050,사용성,만족,4
RVD-220118-0058806,ANAL-211104-0050,사용성,기쁨,5
RVD-220118-0058805,ANAL-211104-0049,사용성,고마움,4
RVD-220118-0058804,ANAL-211104-0050,사용성,중립,3
RVD-220118-0058803,ANAL-211104-0143,사용성,중립,3
RVD-220118-0058802,ANAL-211104-0109,사용성,중립,3
RVD-220118-0058801,ANAL-211104-0110,사용성,만족,4
RVD-220118-0058778,ANAL-211104-0089,사용성,괴로움,2
RVD-220118-0058777,ANAL-211104-0051,사용성,만족,4
RVD-220118-0058754,ANAL-211104-0047,사용성,중립,3
RVD-220118-0035641,ANAL-211104-0203,사용성,만족,4
RVD-220118-0035639,ANAL-211104-0202,사용성,만족,4
RVD-220118-0035638,ANAL-211104-0170,사용성,만족,4
RVD-220118-0035633,ANAL-211104-0226,디자인,싫음,1
RVD-220118-0035562,ANAL-211104-0185,사용성,슬픔,2
RVD-220118-0035561,ANAL-211104-0185,사용성,중립,3
RVD-220118-0035560,ANAL-211104-0171,사용성,바람,4
RVD-220118-0035559,ANAL-211104-0171,사용성,중립,3
RVD-220118-0035558,ANAL-211104-0160,가격,중립,3
RVD-220118-0035557,ANAL-211104-0159,사용성,만족,4
RVD-220118-0035556,ANAL-211104-0159,사용성,감동,4
RVD-220118-0035555,ANAL-211104-0159,사용성,중립,3
RVD-220118-0026440,ANAL-211104-0275,사용성,만족,4
RVD-220118-0026439,ANAL-211104-0275,사용성,만족,4
RVD-220118-0026438,ANAL-211104-0066,사용성,만족,4
RVD-220118-0026437,ANAL-211104-0066,사용성,만족,4
RVD-220118-0026436,ANAL-211104-0066,사용성,슬픔,2
RVD-220118-0026435,ANAL-211104-0066,사용성,만족,4
RVD-220118-0026434,ANAL-211104-0066,사용성,바람,4
RVD-220118-0026433,ANAL-211104-0066,사용성,싫음,1
RVD-220118-0026432,ANAL-211104-0066,사용성,행복,5
RVD-220118-0026431,ANAL-211104-0066,사용성,안타까움,2
RVD-220118-0026430,ANAL-211104-0066,사용성,만족,4
RVD-220118-0026429,ANAL-211104-0066,사용성,놀람,4
RVD-220118-0026428,ANAL-211104-0066,사용성,만족,4
RVD-220118-0026427,ANAL-211104-0066,사용성,만족,4
RVD-220118-0026426,ANAL-211104-0066,제품상태,만족,4
RVD-220118-0026425,ANAL-211104-0066,사용성,짜증남,1
RVD-220118-0026424,ANAL-211104-0066,사용성,만족,4
RVD-220118-0026423,ANAL-211104-0066,사용성,만족,4
RVD-220118-0026422,ANAL-211104-0066,사용성,만족,4
RVD-220118-0026421,ANAL-211104-0311,사용성,중립,3
RVD-220118-0026419,ANAL-211104-0087,사용성,즐거움,5
RVD-220118-0026418,ANAL-211104-0087,사용성,만족,4
RVD-220118-0026417,ANAL-211104-0087,재질,만족,4
RVD-220118-0026416,ANAL-211104-0087,사용성,만족,4
RVD-220118-0026415,ANAL-211104-0087,가격,감동,4
RVD-220118-0026414,ANAL-211104-0087,사용성,만족,4
RVD-220118-0026413,ANAL-211104-0258,사용성,즐거움,5
RVD-220118-0026412,ANAL-211104-0258,사용성,놀람,4
RVD-220118-0026411,ANAL-211104-0258,사용성,후회,1
RVD-220118-0026410,ANAL-211104-0258,사용성,행복,5
RVD-220118-0026409,ANAL-211104-0258,사용성,만족,4
RVD-220118-0026404,ANAL-211104-0154,사용성,설렘,4
RVD-220118-0026403,ANAL-211104-0154,사용성,싫음,1
RVD-220118-0026402,ANAL-211104-0154,사용성,만족,4
RVD-220118-0026401,ANAL-211104-0154,사이즈,기쁨,5
RVD-220118-0026400,ANAL-211104-0154,사용성,만족,4
RVD-220118-0026399,ANAL-211104-0154,사용성,분노,1
RVD-220118-0026398,ANAL-211104-0154,사용성,행복,5
RVD-220118-0026397,ANAL-211104-0154,사용성,행복,5
RVD-220118-0026396,ANAL-211104-0081,사용성,행복,5
RVD-220118-0026395,ANAL-211104-0082,사용성,싫음,1
RVD-220118-0026394,ANAL-211104-0082,디자인,중립,3
RVD-220118-0026393,ANAL-211104-0082,사용성,만족,4
RVD-220118-0026392,ANAL-211104-0069,사용성,만족,4
RVD-220118-0026391,ANAL-211104-0067,사용성,중립,3
RVD-220118-0026390,ANAL-211104-0073,사용성,당황,2
RVD-220118-0026389,ANAL-211104-0073,사용성,중립,3
RVD-220118-0026388,ANAL-211104-0140,사용성,고마움,4
RVD-220118-0026387,ANAL-211104-0127,사용성,고마움,4
RVD-220118-0026386,ANAL-211104-0127,사용성,중립,3
RVD-220118-0026385,ANAL-211104-0127,사용성,싫음,1
RVD-220118-0026384,ANAL-211104-0127,사용성,불안,2
RVD-220118-0026383,ANAL-211104-0127,사용성,바람,4
RVD-220118-0026382,ANAL-211104-0127,사용성,중립,3
RVD-220118-0026381,ANAL-211104-0127,사용성,만족,4
RVD-220118-0026380,ANAL-211104-0127,사용성,만족,4
RVD-220118-0026379,ANAL-211104-0127,사용성,중립,3
RVD-220118-0026378,ANAL-211104-0127,재질,싫음,1
RVD-220118-0026377,ANAL-211104-0127,사용성,괴로움,2
RVD-220118-0026376,ANAL-211104-0235,디자인,슬픔,2
