분석날짜	분석모델	분석제품수	총 리뷰수	분석시간
220120_0933	empathy+classify_pt	47	112	212.7916078567505	
220120_0941	total_key	289	111294	495.2258017063141	
220120_0948	emo	289	63923	383.39248538017273	
220120	all_analy	-	-	1135.590879201889	
220120_1009	total_key	289	111294	486.38914823532104	
220120_1016	emo	289	63923	381.12879395484924	
220120	all_analy	-	-	907.6382570266724	
220120_1027	total_key	1	1022	3.8154404163360596	
220120	all_analy	-	-	8.962532758712769	
220120_1034	total_key	1	1022	3.728480339050293	
220120_1036	total_key	1	28	0.22823286056518555	
220120_1038	total_key	1	1022	3.708975315093994	
220120	all_analy	-	-	6.993937969207764	
220120_1041	total_key	1	1022	3.8039121627807617	
220120	all_analy	-	-	8.96211314201355	
220120_1103	total_key	289	111294	486.1836533546448	
220120_1109	emo	289	63923	355.1961281299591	
220120	all_analy	-	-	892.1295895576477	
220120_1425	total_key	1	1022	3.767119884490967	
220120_1427	total_key	1	1022	3.802492380142212	
220120_1428	total_key	1	1022	4.013240814208984	
220120_1430	total_key	1	1022	3.9068400859832764	
220120_1441	total_key	289	111294	514.782112121582	
220120_1447	emo	289	63923	384.92799162864685	
220120	all_analy	-	-	975.5095593929291	
