ANAL_CODE,KEYWORD_GUBUN,SITE_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
ANAL-211104-0011,0,0,좋아요,만족합니다,좋습니다,아기,감사합니다,11.83,3.64,3.4,3.01,2.91
ANAL-211104-0011,1,0,색상도 누리끼리한 색이 아니라 이쁜 아이보리 색상이라 더 깔끔해보여요아기 턱받이까지 사은품으로 주시고 넘 감사해요,잘받앗어요,좋습니다,써보고 재구매할것같아요,만족합니다,,,,,
ANAL-211104-0011,0,1,문이,좋아요,문을,아기가,경첩에,12.87,11.14,9.6,8.96,7.85
ANAL-211104-0011,1,1,보기보다견고한재질입니다그렇다고 엄청나게 단단한 건 아니구요,무게도 가볍고 색깔별로 있어서 방문마다 끼웠더니 예뻐요,문이애매하게열린채로고정됨적응이안되서못쓰는중기능이 나쁜건 아닌데기대했던 기능은 아니네요,문에만 끼우는건 경첩에 손이 끼일수도 있어 경첩용으로 구매했어요올해 초 아기가 경첩에 손가락이 끼어 수술을 받았었거든요그때의 경험을 두 번 하고싶지 않네요색깔이 좀 유치해서 싫었지만 쿠팡서 판매하는 것 중에는 화이트색이 안보이네요노랑 초록 파랑 3개씩 한세트로 총 9개입니다문에 하나씩 다 끼우고도 남네요세게 힘을 주지 않는 이상 튕겨져 나오진 않아요하지만 진짜 힘을 줘서 닫는다면 튕겨나올 수도 있어요,문닫힘방지용으로짱입니다정말 유용하게 잘 쓰고 있어요,,,,,
ANAL-211104-0107,0,1,전선,구매,너무,물어뜯,생각보다,2.99,1.78,1.64,1.53,1.49
ANAL-211104-0107,1,1,전선에 감아놓으면 냥이가 전선을안물어서 집에 웬만한 전선에 다 감아놓았어요,너무 촌스러움모던한 색만 구매가능했으면 합니다,정리가 깔끔하게 되네요,빠른배송감사합니다,깔끔히 선 정리할때 꼭 필요한 제품은 확실히 맞네요,,,,,
ANAL-211104-0064,0,1,모서리,너무,좋아요,작아서,양면,6.97,6.61,5.56,4.16,3.9
ANAL-211104-0064,1,1,진짜 안다치길 바라는수밖에  그래도 안하는것보다 안심은 되요,새로 구입한 책꽂이 모서리가 생각보다 날카로와서 사이즈 보고 구입했어요사이즈 잘 확인하세요,좋아요감사합니다좋아요,깔끔하고좋아요드레스룸 아일랜드 서랍장이 유리고정이안되서 고민하다가 모서리가드로 했어요유리도 안움직이고 모서리도 찧일염려없어서 좋아요,좋은데아기가쉽게뗌떨어져요돌아기가 있어 티비다이모서리 식탁에 붙여놨는데 티비다이모서리 다떨어져있어요아기가 뗀것같아요,,,,,
ANAL-211104-0208,0,0,디자인도,너무,좋아요,,,1.58,1.52,1.32,,
ANAL-211104-0208,1,0,잘 쓰고 있습니다,마감부분이 좀 미흡하지만 디자인도 이쁘고 좋아요물받침대 있었음,한가지 아쉬운건 바닥이 막혀있는건 줄 알았는데 뚫려있어서 설거지 후 건조후 걸어둬야해요,디자인도 심플해서 너무 좋았습니다실리콘이있어서 컵이 고정되고 밀리거나 컵 안이 흠이 나지 않아서 너무 좋았습니다,화면과 같구요,,,,,
ANAL-211104-0208,1,1,사진에는 물받침이있는데 배송은 물받침이 없더라구요그래서 쟁반에 올려두고씁니다물받침 없는줄 알았으면 다른거 샀을거에요,화이트amp우드더쿠면필구임추천합니당1개인줄 알고 주문했는데 2개가 뙇 요즘 인테리어에 부쩍 관심이많아서 요런거 구매하는 낙으로 살구있네용화이트우드톤이라 색감도 너무 마음에들고 아래 미끄러지지말라고 실리콘마감 실리콘발 그런것도 있더라구요덕분에 너무 이쁜 주방 완성이에요추천추천,단순하지만안정감있는스탠드입니다다양한 사이즈로 활용가능해서 너무 잘쓰고 있습니다컵부터 보온병까지 같이 걸고 있는데 안 넘어지고 안정감 있어서 너무 좋아요,비슷한종류중에제일깜끔해보여요,,,,,,
ANAL-211104-0117,0,0,좋네요,배송,아직,좋아,있어,1.91,1.51,1.25,1.07,1.04
ANAL-211104-0117,1,0,탈부착이 귀찮지만 자동차가 깨끗해지는 마법은 있네요,상품 좋습니다,배송이 늦어 사용은 못했지만 다음번에 사용하려합니다,애기 카시트거부가와서 장난감이랑 같이 태우고있는데 장난감이 자꾸 떨어지니깐 더 울어서 구입했어요,장거리갈때 필요할것 같아샀는데 유용할것 같네요,,,,,
ANAL-211104-0117,0,1,장난감,구매,쿠팡체험단,이벤트로,상품을,3.93,3.73,3.62,3.24,2.9
