분석날짜	분석모델	분석제품수	총 리뷰수	분석시간
220310_1826	total_key(single)	289	115890	501.33017587661743	
220310_1853	emo(singe)	289	66740	366.7074191570282	
220310_1856	total_key(error)	16	0	0.1945188045501709	
220310_1856	total_key(error)	16	0	0.2139880657196045	
220310_1919	total_key	96	23166	114.15350294113159	
220310_1920	total_key	96	40026	196.85609936714172	
220310_1921	total_key	97	52698	227.1006314754486	
220310_1925	emo	96	12505	85.0060555934906	
220310_1927	emo	96	22761	151.98872566223145	
220310_1927	emo	97	31474	173.46604800224304	
