SITE_GUBUN,REVIEW_DOC_NO,ANAL_CODE,REVIEW
0,RVD-220310-0023894,ANAL-211104-0226,너무너무 이쁘고 마음에들어요
0,RVD-220310-0023893,ANAL-211104-0226,여기 디자인이 제일 세련된 것 같아요 본드도 굳은거 없이 잘 왔구요  고정하는 스티커도 엄청 짱짱하네요 안 떨어지는지는 조금 지켜봐야겠지만 잘 쓸것 같아요ㅎㅎ
0,RVD-220310-0023885,ANAL-211104-0190,컬러가 예쁘고 뚜껑이 우드라 고급져 보여요
0,RVD-220310-0023884,ANAL-211104-0159,동생 자취방에 사줬는데 사이즈도 디자인도 다 만족한다고 하네요
0,RVD-220310-0023883,ANAL-211104-0159,20리터인줄 알고 삿지만 예상보다 작다는 너낌적인 너낌 근데ㅡ디쟌은 넘나 예쁘요
0,RVD-220310-0023882,ANAL-211104-0159,첨엔 눌러도 잘 안열리나 했는데 몇번 했더니 부드럽게 잘 열립니다쓰레기통이 예뻐서 맘에 들어요쓰레기 자꾸 버리고 싶어요
0,RVD-220310-0023881,ANAL-211104-0159,이쁘긴한데 뚜껑이 생각보다 잘 안열립니다
0,RVD-220310-0019924,ANAL-211104-0275,저렴하게 잘 샀어요
0,RVD-220310-0019923,ANAL-211104-0066,좋은 것 같긴한데ㅠㅠ 아기 손톱이 여전히 좀 날카로워요ㅜㅜ
0,RVD-220310-0019922,ANAL-211104-0066,아직 출산전이라 써보진 못했지만 깔끔하니 잘 될거같아요
0,RVD-220310-0019921,ANAL-211104-0066,아이 손톱 갈아 줄때 너무너무 좋아요 가위보다 강추합니다
0,RVD-220310-0019920,ANAL-211104-0066,아기가 안 무서워하지만 너무 만지려고 해서 잘때 몰래 깎아주려구합니당ㅎㅎ
0,RVD-220310-0019919,ANAL-211104-0066,어른꺼는 잘 사용하고 아기꺼는 잘 안쓰게 되네요ㅠㅠ
0,RVD-220310-0019915,ANAL-211104-0258,너무 사랑스러운 미니수영장이예요ㅎㅎ
0,RVD-220310-0019914,ANAL-211104-0154,아이목을 받칠수 있어서 좋았습니다
0,RVD-220310-0019913,ANAL-211104-0154,너무귀엽고 외출용으로 좋아요
0,RVD-220310-0019912,ANAL-211104-0154,괜찮아요 사진도 이쁘게 나오구용근데 조금 탄탄하진 않은 것 같아요
0,RVD-220310-0019911,ANAL-211104-0154,목까지 잘 잡아주는데 좀 높아서 아기가 낑겨보여요 우리 아기가 큰걸지도 안정적입니다 바람이 잘 안되서 그냥 입으로 불었어요 ㅋㅋㅋ
0,RVD-220310-0019910,ANAL-211104-0081,즈이집은 이것만 사용 합니다
0,RVD-220310-0019909,ANAL-211104-0081,주변에 추첮 강추햇어요 너무 좋아요
0,RVD-220310-0019908,ANAL-211104-0081,종류별로 하나씩  사보앗는데  이게 젤  좋더라구요
0,RVD-220310-0019907,ANAL-211104-0069,배송도빠르고마음에듭니다
0,RVD-220310-0019906,ANAL-211104-0067,배송도빠르고마음에듭니다
0,RVD-220310-0019905,ANAL-211104-0067,양치안하려고할때 효과봤어요 리필같이구매하시는거 추천합니다
0,RVD-220310-0019904,ANAL-211104-0067,매일쓰진않고 가끔쓰는데아주 개운합니다ㅋㅋ
0,RVD-220310-0019903,ANAL-211104-0069,조카하나 선물해줳ㅈ어용좋대요
0,RVD-220310-0019902,ANAL-211104-0067,개운하게 닥ㅇ?요너무좋앙
0,RVD-220310-0019901,ANAL-211104-0068,배송이너무너무느립니다
0,RVD-220310-0019900,ANAL-211104-0068,배송이 너무너무느립니다
0,RVD-220310-0019899,ANAL-211104-0127,전자 온도는 이미 고장 낫지만 ㅋ그래도 이게 제일 좋네요
0,RVD-220310-0019897,ANAL-211104-0072,굿 소리도 작고 배냇머리 자르는데굿
0,RVD-220310-0019896,ANAL-211104-0072,소음진동없고 좋아요
0,RVD-220310-0019895,ANAL-211104-0072,기계는 좋으나 사용자가 미숙한게 문제네요ㅜ
0,RVD-220310-0019894,ANAL-211104-0151,꼭 필요한 제품이었는데 드디어 샀어요높낮이 조절 리클라이너 기능 발받이조절 접어져서 쉬운 보관등 장점이 참 많네요 사야지사야지 하며 미루다 다른제품들과 비교끝에 샀는데 후회없는 결정입니다 아이도 편해하고 거부감없어하네요 만족합니다  많이 파세요 
0,RVD-220310-0019893,ANAL-211104-0151,잘사용중이예요의자에 앉혀놓구 먹이니 편하네요진작 살껄그랬어요
0,RVD-220310-0019892,ANAL-211104-0151,얼마 더 써봐야 알겠지만 방수도 잘되고 좋아욥
0,RVD-220310-0019891,ANAL-211104-0150,새거라 그런지 상태도 오래가고 좋아요
0,RVD-220310-0019890,ANAL-211104-0146,사진찍으려고 샀어요ㅎㅎ 뒤로 넘어가는게 보호는 되서 좋네요
