분석날짜	분석모델	분석제품수	총 리뷰수	분석시간
220311_0855	total_key	96	23166	113.74091863632202	
220311_0856	total_key	96	40026	196.29072260856628	
220311_0856	total_key	97	52698	225.87543034553528	
220311_0907	total_key	96	23166	115.88937735557556	
220311_0908	total_key	96	40026	195.6381893157959	
220311_0909	total_key	97	52698	226.90419507026672	
220311_0910	emo	96	12505	85.11414313316345	
220311_0911	emo	96	22761	148.0448763370514	
220311_0912	emo	97	31474	169.77832913398743	
220311-091214	all_analy	-	-	420.3759226799011	
